"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.678838855392964e9,"2023-03-14 20:07:35.393 UTC-04:00"
"PAUSE",1.183705384583372e2,1.678838973756400e9,"2023-03-14 20:09:33.756 UTC-04:00"
"START",1.183705384583372e2,1.678839099645115e9,"2023-03-14 20:11:39.645 UTC-04:00"
"PAUSE",1.963933666666708e2,1.678839177663259e9,"2023-03-14 20:12:57.663 UTC-04:00"
"START",1.963933666666708e2,1.678839211090975e9,"2023-03-14 20:13:31.091 UTC-04:00"
"PAUSE",2.707676366666710e2,1.678839285460780e9,"2023-03-14 20:14:45.461 UTC-04:00"
"START",2.707676366666710e2,1.678839308837120e9,"2023-03-14 20:15:08.837 UTC-04:00"
"PAUSE",2.716153997916699e2,1.678839309684832e9,"2023-03-14 20:15:09.685 UTC-04:00"
"START",2.716153997916699e2,1.678839476009634e9,"2023-03-14 20:17:56.010 UTC-04:00"
"PAUSE",3.368771176250011e2,1.678839541235978e9,"2023-03-14 20:19:01.236 UTC-04:00"
